Red,Green,Blue
7375,4700,4843
6893,4108,4239
7193,4679,4812
6928,4391,4483
6900,4319,4430
9516,8438,8724
8551,6945,7192
7029,4643,4768
7155,4826,4936
6806,4374,4487
6474,4124,4218
6189,3926,4016
6361,4259,4386
6183,4194,4307
6525,4529,4627
6834,4733,4820
6710,4653,4749
5510,4229,4285
4884,4033,3975
4700,3943,4032
4772,4021,4072
4628,3941,3917
3952,3708,3700
3917,3912,3881
3917,3912,3881
3926,4478,4431
3651,4312,4300
4265,5335,5186
3690,4231,4169
3579,4014,3957
4925,6139,6175
4170,4388,4388
4303,4189,4173
4546,4149,4108
5244,4547,4691
5572,4629,4649
5586,4184,4242
6205,4235,4326
6554,4095,4200
6784,4172,4274
6793,4384,4501
7228,5345,5473
7240,4991,5140
7162,5013,5135
6877,4657,4735
6611,4828,4898
6192,4204,4272
5996,3884,3918
6008,3968,4061
6611,4046,4141
6908,4216,4217
7212,4621,4740
7050,4453,4542
6805,3925,4050
7186,4359,4464
7456,4625,4828
7966,5523,5701
7966,5523,5701
7862,5150,5253
7453,4371,4531
7642,4466,4646
7661,4456,4570
7696,4533,4706
7741,4621,4812
8054,5114,5307
9292,7026,7330
9479,7729,8035
10864,9978,10323
11515,10895,11144
11244,10873,10971
9683,8077,8166
11387,10495,10528
9738,8182,8298
7671,5212,5340
7111,4379,4531
